image_id,count
000000.png,12
000001.png,6
000002.png,26
000003.png,20
000004.png,15
000005.png,18
000006.png,10
000007.png,9
000008.png,3
000009.png,13
000010.png,10
000011.png,5
000012.png,14
000013.png,4
000014.png,10
000015.png,9
000016.png,12
000017.png,24
000018.png,11
000019.png,20
000020.png,19
000021.png,22
000022.png,6
000023.png,9
000024.png,3
000025.png,8
000026.png,15
000027.png,17
000028.png,8
000029.png,9
000030.png,1
000031.png,10
000032.png,6
000033.png,18
000034.png,6
000035.png,21
000036.png,12
000037.png,5
000038.png,17
000039.png,9
000040.png,3
000041.png,15
000042.png,15
000043.png,16
000044.png,8
000045.png,16
000046.png,6
000047.png,10
000048.png,19
000049.png,5
000050.png,4
000051.png,18
000052.png,12
000053.png,11
000054.png,12
000055.png,8
000056.png,5
000057.png,6
000058.png,7
000059.png,11
000060.png,7
000061.png,14
000062.png,8
000063.png,4
000064.png,10
000065.png,12
000066.png,23
000067.png,17
000068.png,12
000069.png,11
000070.png,18
000071.png,9
000072.png,7
000073.png,17
000074.png,7
000075.png,6
000076.png,10
000077.png,24
000078.png,4
000079.png,10
000080.png,16
000081.png,11
000082.png,11
000083.png,4
000084.png,8
000085.png,11
000086.png,12
000087.png,18
000088.png,14
000089.png,8
000090.png,6
000091.png,8
000092.png,9
000093.png,14
000094.png,8
000095.png,14
000096.png,5
000097.png,7
000098.png,11
000099.png,18
000100.png,16
000101.png,14
000102.png,13
000103.png,9
000104.png,15
000105.png,12
000106.png,17
000107.png,14
000108.png,6
000109.png,5
000110.png,12
000111.png,15
000112.png,18
000113.png,15
000114.png,11
000115.png,8
000116.png,2
000117.png,10
000118.png,3
000119.png,13
000120.png,5
000121.png,16
000122.png,13
000123.png,10
000124.png,9
000125.png,18
000126.png,20
000127.png,13
000128.png,20
000129.png,3
000130.png,28
000131.png,18
000132.png,9
000133.png,9
000134.png,15
000135.png,3
000136.png,17
000137.png,18
000138.png,7
000139.png,12
000140.png,8
000141.png,9
000142.png,11
000143.png,12
000144.png,15
000145.png,22
000146.png,6
000147.png,20
000148.png,11
000149.png,13
000150.png,15
000151.png,8
000152.png,16
000153.png,16
000154.png,10
000155.png,12
000156.png,13
000157.png,12
000158.png,17
000159.png,11
000160.png,13
000161.png,17
000162.png,16
000163.png,16
000164.png,15
000165.png,20
000166.png,17
000167.png,18
000168.png,18
000169.png,15
000170.png,17
000171.png,11
000172.png,11
000173.png,4
000174.png,1
000175.png,6
000176.png,12
000177.png,9
000178.png,13
000179.png,15
000180.png,15
000181.png,3
000182.png,16
000183.png,6
000184.png,12
000185.png,6
000186.png,7
000187.png,3
000188.png,8
000189.png,11
000190.png,8
000191.png,16
000192.png,24
000193.png,6
000194.png,25
000195.png,11
000196.png,10
000197.png,3
000198.png,6
000199.png,6
000200.png,17
000201.png,8
000202.png,9
000203.png,6
000204.png,6
000205.png,4
000206.png,10
000207.png,8
000208.png,19
000209.png,8
000210.png,13
000211.png,18
000212.png,5
000213.png,10
000214.png,6
000215.png,6
000216.png,11
000217.png,6
000218.png,9
000219.png,12
000220.png,18
000221.png,15
000222.png,13
000223.png,22
000224.png,18
000225.png,19
000226.png,13
000227.png,6
000228.png,8
000229.png,19
000230.png,17
000231.png,7
000232.png,2
000233.png,11
000234.png,12
000235.png,19
000236.png,4
000237.png,5
000238.png,16
000239.png,4
000240.png,21
000241.png,9
000242.png,11
000243.png,10
000244.png,9
